Team,FG%,Punt Yards,Kick Return Yards
Arizona Cardinals,0.810810811,238,611
Atlanta Falcons,0.931034483,189,999
Baltimore Ravens,0.945945946,360,737
Buffalo Bills,0.875,316,790
Carolina Panthers,0.896551724,213,620
Chicago Bears,0.866666667,338,1180
Cincinnati Bengals,0.852941176,261,662
Cleveland Browns,0.727272727,337,828
Dallas Cowboys,0.828571429,185,719
Denver Broncos,0.838709677,230,291
Detroit Lions,0.866666667,236,880
Green Bay Packers,0.735294118,199,531
Houston Texans,0.777777778,188,1002
Indianapolis Colts,0.828571429,170,808
Jacksonville Jaguars,0.777777778,159,799
Kansas City Chiefs,0.875,228,702
Las Vegas Raiders,0.930232558,309,694
Los Angeles Chargers,0.888888889,107,976
Los Angeles Rams,0.941176471,215,686
Miami Dolphins,0.741935484,190,330
Minnesota Vikings,0.868421053,206,849
New England Patriots,0.923076923,316,544
New Orleans Saints,0.833333333,349,838
New York Giants,0.878787879,197,683
New York Jets,0.777777778,206,1371
Philadelphia Eagles,0.909090909,239,630
Pittsburgh Steelers,0.9,370,849
San Francisco 49ers,0.84375,279,642
Seattle Seahawks,0.739130435,192,894
Tampa Bay Buccaneers,0.806451613,250,592
Tennessee Titans,0.8125,293,778
Washington Commanders,0.848484848,134,904
