Team,FG%,Punt Yards,Kick Return Yards
Las Vegas Raiders,0.9302325581395349,309,694
Pittsburgh Steelers,0.9,370,849
New England Patriots,0.9230769230769231,316,544
Baltimore Ravens,0.9459459459459459,360,737
Minnesota Vikings,0.868421052631579,206,849
Los Angeles Rams,0.9411764705882353,215,686
Philadelphia Eagles,0.9090909090909091,239,630
Arizona Cardinals,0.8108108108108109,238,611
New York Giants,0.8787878787878788,197,683
Cincinnati Bengals,0.8529411764705882,261,662
Indianapolis Colts,0.8285714285714286,170,808
Dallas Cowboys,0.8285714285714286,185,719
Washington Commanders,0.8484848484848485,134,904
Kansas City Chiefs,0.875,228,702
Buffalo Bills,0.875,316,790
San Francisco 49ers,0.84375,279,642
Atlanta Falcons,0.9310344827586207,189,999
Chicago Bears,0.8666666666666667,338,"1,180"
Tennessee Titans,0.8125,293,778
Denver Broncos,0.8387096774193549,230,291
Detroit Lions,0.8666666666666667,236,880
Carolina Panthers,0.896551724137931,213,620
Green Bay Packers,0.7352941176470589,199,531
New Orleans Saints,0.8333333333333334,349,838
Tampa Bay Buccaneers,0.8064516129032258,250,592
Los Angeles Chargers,0.8888888888888888,107,976
Miami Dolphins,0.7419354838709677,190,330
Houston Texans,0.7777777777777778,188,"1,002"
Jacksonville Jaguars,0.7777777777777778,159,799
New York Jets,0.7777777777777778,206,"1,371"
Seattle Seahawks,0.7391304347826086,192,894
Cleveland Browns,0.7272727272727273,337,828
