Team,QB,RB,WR,OL,Offense,DL,LB,S,CB,Defense
Commanders,33426409,4909186,32264135,41274265,122602652,41724432,11738578,7438356,31045066,91946432
Lions,34300000,10813377,17125592,50700863,122568891,46072228,9327138,11251982,20811989,87463337
Chiefs,39323381,8463115,20182010,36135936,120146269,59732799,8680730,12049009,9493780,89956318
Cowboys,22610408,21595915,15795795,43543395,118029233,34451385,14048033,9433724,19962816,77895958
Titans,40433200,18680552,18292824,32346487,117593265,46689561,9491324,16085629,10924917,83191431
Jets,14885556,6927225,31012049,50389007,113077734,59288136,25527833,10189845,16416791,111422605
Cardinals,16839481,7585826,30768118,48252947,112081765,38277134,16272629,20970772,8735517,84256052
Patriots,6169118,6372744,37112539,30349331,111335148,47952268,9608273,17404924,25372104,100337569
49ers,37425448,5595537,18324248,38558652,111170983,47166798,18575017,18600959,17882439,102225213
Ravens,24622666,9765808,10179665,48332077,110484791,30703523,8342558,13554303,34489324,87089708
Panthers,25262226,13202376,26806091,36911399,109658402,28842856,21959137,8448659,18610504,77861156
Broncos,25960000,8795238,21541070,46386149,109136758,42237266,8177777,24335908,25923798,100674749
Vikings,34894336,15557080,22068507,29946324,107827940,39679069,23493086,12931357,11326660,87430172
Buccaneers,16374031,8564083,30479430,44113989,106843942,31086096,29075896,8320913,18264020,86746925
Chargers,10283406,11986351,40765315,33508859,104832457,62277430,11058491,15348932,24854498,113539351
Giants,12010836,11257551,41988160,34615321,104372646,48821342,12628031,9061471,16319620,86830464
Colts,22870224,11339023,11780211,47714344,103886756,54174705,22451627,5690134,24691793,107008259
Dolphins,15482489,15120003,24891322,27393065,102861933,36681818,20490784,11093362,31358942,99624906
Packers,32615878,10244963,19258070,28126794,101446013,45730032,10324990,17039312,17120695,90215029
Jaguars,12688627,6404624,32063730,31728186,100932926,51528975,13520608,15474157,33635820,114159560
Saints,7993395,10922265,30357977,36669285,97649327,36297544,14645163,13099901,18271437,82314045
Bills,20792281,7901686,21437837,38029692,95476179,33197836,25595386,19013675,30735739,108542636
Browns,15905500,16120382,14993878,39300146,92973497,31434307,9349775,13493160,14117257,68394499
Bengals,12075037,16358810,24909588,31271053,92785457,54049745,10254820,25533256,24246432,114084253
Raiders,21050000,9915435,22950487,24950858,91848461,40395657,9189917,9782716,15306874,74675164
Eagles,5719896,5910242,20384340,49948873,89958718,51546409,8344176,6630047,23468346,89988978
Rams,15220000,6304481,29714328,26860055,89686983,58735310,6719359,8257316,33477669,107189654
Texans,4704929,8018711,20530290,43243831,85889539,27313550,17560204,12093667,24045963,81013384
Seahawks,5846022,10904273,27143221,26866341,80154385,40534229,10047077,20861387,11867672,83310365
Falcons,6055084,6613472,13515901,33453713,72036664,29588202,26313830,5930904,15785459,77618395
Bears,7169080,7330705,14385121,30063345,65532135,39183900,16897333,21779957,10572553,88433743
Steelers,10257801,7505453,19212481,23068971,65069668,75664703,17410579,13061735,17021321,123158338
