Team,Interceptions,Sacks,Sack Yards,Fumbles
Buccaneers,12,23,154,10
Chiefs,13,28,146,8
Chargers,15,31,214,7
Steelers,11,38,239,2
Bills,16,27,166,7
Cowboys,11,33,163,6
Raiders,14,40,241,17
Dolphins,14,40,285,7
Ravens,18,57,306,5
Rams,18,31,251,11
Jaguars,17,32,238,8
Vikings,7,30,212,9
Jets,20,53,418,8
Panthers,21,52,334,11
Lions,14,36,286,7
Packers,7,33,211,6
Giants,20,38,267,5
Cardinals,11,39,343,7
Falcons,15,40,274,3
Bengals,14,55,403,8
Football Team,15,43,305,6
Texans,15,44,325,3
Bears,20,58,428,6
Broncos,9,40,263,3
Titans,14,47,327,4
Patriots,13,28,241,9
Colts,8,32,227,4
Browns,14,49,299,1
49ers,14,33,216,10
Saints,13,37,251,6
Seahawks,7,46,383,4
Eagles,10,31,181,1
