Team,Passing Yards,Touchdowns,Y/R
Football Team,21,3746,10.52
Buccaneers,43,5383,10.94
Seahawks,30,3815,11.77
49ers,26,4437,12.94
Chargers,38,5014,11.32
Steelers,23,4017,9.45
Cardinals,27,4619,11.13
Eagles,20,3585,11.68
Jets,20,3959,11.09
Giants,15,3463,9.87
Saints,29,3437,11.73
Patriots,24,4098,11.26
Vikings,34,4450,11.18
Dolphins,21,3936,9.74
Raiders,23,4808,11.21
Rams,41,4893,12.05
Chiefs,37,4937,11.02
Jaguars,12,3674,10.18
Colts,27,3588,11.07
Texans,21,3630,10.25
Titans,22,3745,10.43
Packers,39,4526,11.26
Lions,23,3884,9.81
Broncos,20,3856,10.89
Cowboys,40,4963,11.18
Browns,21,3619,11.31
Bengals,36,4806,12.52
Bears,16,3635,10.95
Panthers,14,3573,10.27
Bills,36,4450,10.72
Ravens,21,4267,10.78
Falcons,20,3987,10.58
